benchmark,run,result
quadratic,baseline,785
quadratic,loop,546
quadratic,noloop,546
primes-between,baseline,574100
primes-between,loop,654524
primes-between,noloop,654524
birthday,baseline,484
birthday,loop,324
birthday,noloop,324
orders,baseline,5352
orders,loop,6395
orders,noloop,6395
sum-check,baseline,5018
sum-check,loop,7021
sum-check,noloop,7021
palindrome,baseline,298
palindrome,loop,416
palindrome,noloop,416
totient,baseline,253
totient,loop,349
totient,noloop,349
relative-primes,baseline,1923
relative-primes,loop,1446
relative-primes,noloop,1446
hanoi,baseline,99
hanoi,loop,107
hanoi,noloop,107
is-decreasing,baseline,127
is-decreasing,loop,141
is-decreasing,noloop,141
check-primes,baseline,8468
check-primes,loop,4653
check-primes,noloop,4653
sum-sq-diff,baseline,3038
sum-sq-diff,loop,2120
sum-sq-diff,noloop,2120
fitsinside,baseline,10
fitsinside,loop,11
fitsinside,noloop,11
fact,baseline,229
fact,loop,168
fact,noloop,168
loopfact,baseline,116
loopfact,loop,97
loopfact,noloop,97
recfact,baseline,104
recfact,loop,64
recfact,noloop,64
factors,baseline,72
factors,loop,89
factors,noloop,89
perfect,baseline,232
perfect,loop,308
perfect,noloop,308
bitshift,baseline,167
bitshift,loop,103
bitshift,noloop,103
digital-root,baseline,247
digital-root,loop,281
digital-root,noloop,281
up-arrow,baseline,252
up-arrow,loop,345
up-arrow,noloop,345
sum-divisors,baseline,159
sum-divisors,loop,220
sum-divisors,noloop,220
ackermann,baseline,1464231
ackermann,loop,1464232
ackermann,noloop,1464232
pythagorean_triple,baseline,61518
pythagorean_triple,loop,69398
pythagorean_triple,noloop,69398
euclid,baseline,563
euclid,loop,315
euclid,noloop,315
binary-fmt,baseline,100
binary-fmt,loop,110
binary-fmt,noloop,110
lcm,baseline,2326
lcm,loop,2456
lcm,noloop,2456
gcd,baseline,46
gcd,loop,61
gcd,noloop,61
catalan,baseline,659378
catalan,loop,757793
catalan,noloop,757793
armstrong,baseline,133
armstrong,loop,163
armstrong,noloop,163
pascals-row,baseline,146
pascals-row,loop,82
pascals-row,noloop,82
collatz,baseline,169
collatz,loop,173
collatz,noloop,173
sum-bits,baseline,73
sum-bits,loop,87
sum-bits,noloop,87
rectangles-area-difference,baseline,14
rectangles-area-difference,loop,17
rectangles-area-difference,noloop,17
mod_inv,baseline,558
mod_inv,loop,385
mod_inv,noloop,385
reverse,baseline,46
reverse,loop,51
reverse,noloop,51
fizz-buzz,baseline,3652
fizz-buzz,loop,2552
fizz-buzz,noloop,2552
bitwise-ops,baseline,1690
bitwise-ops,loop,2149
bitwise-ops,noloop,2149
